Word,Pronunciation,Syllables,Frequency
ARBITRATE,"['AA R', 'B AH', 'T R EY T']","['AR', 'BI', 'TRATE']",199202
ARBITRATED,"['AA R', 'B AH', 'T R EY', 'T IH D']","['AR', 'BI', 'TRAT', 'ED']",108103
ARBITRATING,"['AA R', 'B AH', 'T R EY', 'T IH NG']","['AR', 'BI', 'TRAT', 'ING']",26423
ARBITRATION,"['AA R', 'B IH', 'T R EY', 'SH AH N']","['AR', 'BI', 'TRA', 'TION']",5674307
ARBITRATOR,"['AA R', 'B IH', 'T R EY', 'T ER']","['AR', 'BI', 'TRA', 'TOR']",1503052
ARBOR,"['AA R', 'B ER']","['AR', 'BOR']",5057261
ARBOREAL,"['AA R', 'B AO', 'R IY', 'AH L']","['AR', 'BO', 'RE', 'AL']",100309
ARBORETUM,"['AA R', 'B ER', 'IY', 'T AH M']","['AR', 'BO', 'RE', 'TUM']",847088
ARBOUR,"['AA R', 'B ER']","['AR', 'BOUR']",212376
ARBUTHNOT,"['AA R', 'B AH T H', 'N AH T']","['AR', 'BUTH', 'NOT']",102673
ARC,['AA R K'],['ARC'],12229184
ARCADIA,"['AA R', 'K EY', 'D IY', 'AH']","['AR', 'CA', 'DI', 'A']",2151851
ARCADIAN,"['AA R', 'K EY', 'D IY', 'AH N']","['AR', 'CA', 'DI', 'AN']",162274
ARCANA,"['AA R', 'K AE', 'N AH']","['AR', 'CA', 'NA']",397391
ARCANUM,"['AA R', 'K AH', 'N AH M']","['AR', 'CA', 'NUM']",182867
ARCARO,"['AA R', 'K AA', 'R OW']","['AR', 'CA', 'RO']",15169
ARCATA,"['AA R', 'K AA', 'T AH']","['AR', 'CA', 'TA']",517104
ARCE,['AA R S'],"['AR', 'CE']",147128
ARCH,['AA R CH'],['ARCH'],10040050
ARCHAEOLOGICAL,"['AA R', 'K IY', 'AH', 'L AA', 'JH IH', 'K AH L']","['AR', 'CHAE', 'O', 'LOG', 'I', 'CAL']",3287086
ARCHAEOLOGIST,"['AA R', 'K IY', 'AA', 'L AH', 'JH IH S T']","['AR', 'CHAE', 'OL', 'O', 'GIST']",450722
ARCHAEOLOGY,"['AA R', 'K IY', 'AA', 'L AH', 'JH IY']","['AR', 'CHAE', 'OL', 'O', 'GY']",4760584
ARCHAIC,"['AA R', 'K EY', 'IH K']","['AR', 'CHA', 'IC']",802317
ARCHBISHOP,"['AA R C H', 'B IH', 'SH AH P']","['ARCH', 'BISH', 'OP']",2090110
ARCHDIOCESE,"['AA R C H', 'D AY', 'AH', 'S AH S']","['ARCH', 'DI', 'O', 'CESE']",778518
ARCHED,['AA R CH T'],['ARCHED'],695888
ARCHENEMY,"['AA R', 'CH EH', 'N AH', 'M IY']","['ARCH', 'EN', 'E', 'MY']",31190
ARCHEOLOGICAL,"['AA R', 'K IY', 'AH', 'L AA', 'JH IH', 'K AH L']","['AR', 'CHE', 'O', 'LOG', 'I', 'CAL']",726316
ARCHEOLOGY,"['AA R', 'K IY', 'AA', 'L AH', 'JH IY']","['AR', 'CHE', 'OL', 'O', 'GY']",732660
ARCHERY,"['AA R', 'CH ER', 'IY']","['AR', 'CHER', 'Y']",2882154
ARCHES,"['AA R', 'CH AH Z']","['ARCH', 'ES']",1328319
ARCHETYPAL,"['AA R K', 'T AY', 'P AH L']","['AR', 'CHE', 'TY', 'PAL']",301427
ARCHETYPE,"['AA R', 'K IH', 'T AY P']","['AR', 'CHE', 'TYPE']",431193
ARCHIE,"['AA R', 'CH IY']","['AR', 'CHIE']",1545155
ARCHIMEDES,"['AA R', 'K AH', 'M IY', 'D IY Z']","['AR', 'CHI', 'ME', 'DES']",315114
ARCHING,"['AA R', 'CH IH NG']","['ARCH', 'ING']",253463
ARCHIPELAGO,"['AA R', 'K AH', 'P EH', 'L AH', 'G OW']","['AR', 'CHI', 'PEL', 'A', 'GO']",1118546
ARCHITECT,"['AA R', 'K AH', 'T EH K T']","['AR', 'CHI', 'TECT']",8954294
ARCHITECTURAL,"['AA R', 'K AH', 'T EH K', 'CH ER', 'AH L']","['AR', 'CHI', 'TEC', 'TUR', 'AL']",10225722
ARCHITECTURALLY,"['AA R', 'K IH', 'T EH K', 'CH ER', 'AH', 'L IY']","['AR', 'CHI', 'TEC', 'TUR', 'A', 'LLY']",234640
ARCHITECTURE,"['AA R', 'K AH', 'T EH K', 'CH ER']","['AR', 'CHI', 'TEC', 'TURE']",41474428
ARCHITRAVE,"['AA R', 'K AH', 'T R EY V']","['AR', 'CHI', 'TRAVE']",26686
ARCHIVE,"['AA R', 'K AY V']","['AR', 'CHIVE']",111971865
ARCHIVES,"['AA R', 'K AY V Z']","['AR', 'CHIVES']",89826560
ARCHIVIST,"['AA R', 'K AH', 'V IH S T']","['AR', 'CHI', 'VIST']",1092502
ARCHLY,"['AA R', 'CH L IY']","['ARCH', 'LY']",20599
ARCO,"['AA R', 'K OW']","['AR', 'CO']",890491
ARCS,['AA R K S'],['ARCS'],1197124
ARCTURUS,"['AA R K', 'T UH', 'R AH S']","['ARC', 'TU', 'RUS']",195490
ARD,['AA R D'],"['AR', 'D']",1010555
ARDENTLY,"['AA R', 'D AH N', 'T L IY']","['AR', 'DENT', 'LY']",105860
ARDOR,"['AA R', 'D ER']","['AR', 'DOR']",155258
ARDSLEY,"['AA R D', 'Z L IY']","['ARDS', 'LEY']",146448
ARDUOUS,"['AA R', 'JH UW', 'AH S']","['AR', 'DU', 'OUS']",472353
ARE,['AA R'],['ARE'],2393614870
AREA,"['EH', 'R IY', 'AH']","['AR', 'E', 'A']",259871557
ARENA,"['ER', 'IY', 'N AH']","['A', 'RE', 'NA']",13966572
ARENDT,"['EH', 'R IH N T']","['AR', 'ENDT']",225731
AREQUIPA,"['AA', 'R EH', 'K IY', 'P AA']","['A', 'RE', 'QUI', 'PA']",298347
ARES,['AA R Z'],"['AR', 'ES']",1818295
ARGENTINA,"['AA R', 'JH AH N', 'T IY', 'N AH']","['AR', 'GEN', 'TI', 'NA']",16936066
ARGO,"['AA R', 'G OW']","['AR', 'GO']",637756
ARGON,"['AA R', 'G AA N']","['AR', 'GON']",760267
ARGONAUT,"['AA R', 'G AH', 'N AO T']","['AR', 'GO', 'NAUT']",201792
ARGONNE,"['AA R', 'G AA N']","['AR', 'GONNE']",674484
ARGOSY,"['AA R', 'G AH', 'S IY']","['AR', 'GO', 'SY']",438107
ARGUABLE,"['AA R', 'G Y UW', 'AH', 'B AH L']","['AR', 'GU', 'A', 'BLE']",202934
ARGUE,"['AA R', 'G Y UW']","['AR', 'GUE']",8353605
ARGUED,"['AA R', 'G Y UW D']","['AR', 'GUED']",6989831
ARGUING,"['AA R', 'G Y UW', 'IH NG']","['AR', 'GU', 'ING']",3084735
ARGUMENT,"['AA R', 'G Y AH', 'M AH N T']","['AR', 'GU', 'MENT']",38902162
ARGUMENTATION,"['AA R', 'G Y AH', 'M EH N', 'T EY', 'SH AH N']","['AR', 'GU', 'MEN', 'TA', 'TION']",396002
ARGUMENTATIVE,"['AA R', 'G Y AH', 'M EH N', 'T AH', 'T IH V']","['AR', 'GU', 'MEN', 'TA', 'TIVE']",294352
ARGYLE,"['AA R', 'G AY L']","['AR', 'GYLE']",946309
ARGYLL,"['AA R', 'G AY L']","['AR', 'GYLL']",1059475
ARI,"['AA', 'R IY']","['A', 'RI']",2051728
ARIA,"['AA', 'R IY', 'AH']","['A', 'RI', 'A']",2047712
ARIADNE,"['EH', 'R IY', 'AE D', 'N IY']","['AR', 'I', 'AD', 'NE']",419608
ARIAL,"['EH', 'R IY', 'AH L']","['A', 'R', 'I', 'AL']",2929694
ARIAN,"['AE', 'R IY', 'AH N']","['AR', 'I', 'AN']",382565
ARIANE,"['EH', 'R IY', 'AE N']","['AR', 'I', 'ANE']",304557
ARIANISM,"['AE', 'R IY', 'AH', 'N IH', 'Z AH M']","['AR', 'I', 'A', 'NISM']",37563
ARIEL,"['EH', 'R IY', 'AH L']","['AR', 'I', 'EL']",2731662
ARIES,"['EH', 'R IY Z']","['AR', 'IES']",1651320
ARISE,"['ER', 'AY Z']","['A', 'RISE']",8337093
ARISEN,"['ER', 'IH', 'Z AH N']","['A', 'RI', 'SEN']",1150039
ARISTA,"['ER', 'IH', 'S T AH']","['A', 'RIS', 'TA']",549323
ARISTIDE,"['AA', 'R IH', 'S T IY D']","['A', 'RI', 'STIDE']",486770
ARISTOCRACY,"['EH', 'R AH', 'S T AA', 'K R AH', 'S IY']","['AR', 'IS', 'TOC', 'RA', 'CY']",449320
ARISTOCRAT,"['ER', 'IH', 'S T AH', 'K R AE T']","['A', 'RIS', 'TO', 'CRAT']",290432
ARISTOCRATIC,"['ER', 'IH', 'S T AH', 'K R AE', 'T IH K']","['A', 'RIS', 'TO', 'CRA', 'TIC']",398360
ARISTOPHANES,"['AE', 'R AH', 'S T AO', 'F AH', 'N IY Z']","['AR', 'IS', 'TOPH', 'A', 'NES']",148187
ARISTOTELIAN,"['ER', 'IH', 'S T AH', 'T IY', 'L IY', 'AH N']","['AR', 'IS', 'TO', 'TE', 'LI', 'AN']",181444
ARISTOTLE,"['EH', 'R AH', 'S T AA', 'T AH L']","['AR', 'IS', 'TO', 'TLE']",1816527
ARITHMETIC,"['EH', 'R IH T H', 'M EH', 'T IH K']","['A', 'RITH', 'ME', 'TIC']",2900993
ARIZONA,"['EH', 'R IH', 'Z OW', 'N AH']","['AR', 'I', 'ZO', 'NA']",39283012
ARIZONAN,"['ER', 'IH', 'Z OW', 'N AH N']","['AR', 'I', 'ZO', 'NAN']",13099
ARK,['AA R K'],['ARK'],3908616
ARKADELPHIA,"['AA R', 'K AH', 'D EH L', 'F IY', 'AH']","['AR', 'KA', 'DEL', 'PHIA']",153260
ARKANSAS,"['AA R', 'K AH N', 'S AA']","['AR', 'KAN', 'SAS']",23135882
ARLEEN,"['AA R', 'L IY N']","['AR', 'LEEN']",62566
ARLENE,"['AA R', 'L IY N']","['AR', 'LENE']",899632
ARM,['AA R M'],['ARM'],23724057
ARMADA,"['AA R', 'M AA', 'D AH']","['AR', 'MA', 'DA']",2044394
ARMADILLO,"['AA R', 'M AH', 'D IH', 'L OW']","['AR', 'MA', 'DI', 'LLO']",393754
ARMAGEDDON,"['AA R', 'M AH', 'G EH', 'D AH N']","['AR', 'MA', 'GE', 'DDON']",1292606
ARMAMENT,"['AA R', 'M AH', 'M AH N T']","['AR', 'MA', 'MENT']",496826
ARMAND,"['AA R', 'M AA N D']","['AR', 'MAND']",812274
ARMCO,"['AA R M', 'K OW']","['ARM', 'CO']",24016
ARMED,['AA R M D'],['ARMED'],13866785
ARMENIA,"['AA R', 'M IY', 'N IY', 'AH']","['AR', 'ME', 'NI', 'A']",7014638
ARMENIAN,"['AA R', 'M IY', 'N IY', 'AH N']","['AR', 'ME', 'NI', 'AN']",2794097
ARMING,"['AA R', 'M IH NG']","['ARM', 'ING']",368059
ARMISTICE,"['AA R', 'M AH', 'S T AH S']","['AR', 'MI', 'STICE']",265954
ARMITAGE,"['AA R', 'M IH', 'T IH JH']","['AR', 'MI', 'TAGE']",614470
ARMOIRE,"['AA', 'M W AA R']","['AR', 'MOIRE']",815525
ARMORED,"['AA R', 'M ER D']","['AR', 'MORED']",1633124
ARMORIES,"['AA R', 'M ER', 'IY Z']","['AR', 'MOR', 'IES']",56514
ARMORY,"['AA R', 'M ER', 'IY']","['AR', 'MOR', 'Y']",767773
ARMOUR,"['AA R', 'M ER']","['AR', 'MOUR']",2813708
ARMS,['AA R M Z'],['ARMS'],27432921
ARMY,"['AA R', 'M IY']","['AR', 'MY']",44670729
ARNE,['AA R N'],"['AR', 'NE']",772400
ARNO,"['AA R', 'N OW']","['AR', 'NO']",577093
ARNOLD,"['AA R', 'N AH L D']","['AR', 'NOLD']",8551232
AROMA,"['ER', 'OW', 'M AH']","['A', 'RO', 'MA']",2018777
AROMATIC,"['EH', 'R AH', 'M AE', 'T IH K']","['AR', 'O', 'MA', 'TIC']",1817946
ARON,"['EH', 'R AH N']","['AR', 'ON']",635430
AROSE,"['ER', 'OW Z']","['A', 'ROSE']",2609029
AROUND,"['ER', 'AW N D']","['A', 'ROUND']",178810033
AROUSAL,"['ER', 'AW', 'Z AH L']","['A', 'ROU', 'SAL']",735904
AROUSE,"['ER', 'AW Z']","['A', 'ROUSE']",428589
AROUSED,"['ER', 'AW Z D']","['A', 'ROUSED']",851443
AROUSING,"['ER', 'AW', 'Z IH NG']","['A', 'ROUS', 'ING']",223550
ARP,['AA R P'],"['AR', 'P']",1740980
ARRAIGN,"['ER', 'EY N']","['ARR', 'AIGN']",15420
ARRAIGNMENT,"['ER', 'EY N', 'M AH N T']","['ARR', 'AIGN', 'MENT']",250945
ARRANGE,"['ER', 'EY N JH']","['ARR', 'ANGE']",7727860
ARRANGED,"['ER', 'EY N JH D']","['ARR', 'ANGED']",9483767
ARRANGEMENT,"['ER', 'EY N J H', 'M AH N T']","['ARR', 'ANGE', 'MENT']",11486779
ARRANGER,"['ER', 'EY N', 'JH ER']","['ARR', 'AN', 'GER']",761074
ARRANGING,"['ER', 'EY N', 'JH IH NG']","['ARR', 'ANG', 'ING']",2043604
ARRANT,"['AE', 'R AH N T']","['ARR', 'ANT']",36517
ARRAY,"['ER', 'EY']","['ARR', 'AY']",25150016
ARREARAGE,"['ER', 'IY', 'R IH JH']","['ARR', 'EAR', 'AGE']",54167
ARREARS,"['ER', 'IH R Z']","['ARR', 'EARS']",1177409
ARREST,"['ER', 'EH S T']","['ARR', 'EST']",7653819
ARRESTING,"['ER', 'EH', 'S T IH NG']","['ARR', 'EST', 'ING']",699349
ARRHYTHMIA,"['ER', 'IH D H', 'M IY', 'AH']","['ARR', 'HYTH', 'MI', 'A']",496374
ARRIGO,"['AA', 'R IY', 'G OW']","['ARR', 'I', 'GO']",85141
ARRIS,"['AE', 'R AH S']","['ARR', 'I', 'S']",70170
ARRIVAL,"['ER', 'AY', 'V AH L']","['ARR', 'I', 'VAL']",15370734
ARRIVE,"['ER', 'AY V']","['ARR', 'IVE']",11812688
ARRIVED,"['ER', 'AY V D']","['ARR', 'IVED']",15056872
ARRIVING,"['ER', 'AY', 'V IH NG']","['ARR', 'IV', 'ING']",4703021
ARROGANCE,"['EH', 'R AH', 'G AH N S']","['ARR', 'O', 'GANCE']",1089079
ARROGANT,"['EH', 'R AH', 'G AH N T']","['ARR', 'O', 'GANT']",1384122
ARROGANTLY,"['EH', 'R AH', 'G AH N', 'T L IY']","['ARR', 'O', 'GANT', 'LY']",86604
ARROGATE,"['AE', 'R OW', 'G EY T']","['ARR', 'O', 'GATE']",21527
ARROW,"['AE', 'R OW']","['ARR', 'OW']",11563142
ARROWHEAD,"['AE', 'R OW', 'HH EH D']","['ARR', 'OW', 'HEAD']",1198937
ARROWROOT,"['EH', 'R OW', 'R UW T']","['ARR', 'OW', 'ROOT']",60854
ARROWS,"['AE', 'R OW Z']","['ARR', 'OWS']",3447386
ARROWSMITH,"['AE', 'R OW', 'S M IH TH']","['ARR', 'OW', 'SMITH']",152769
ARROYO,"['ER', 'OY', 'OW']","['ARR', 'OY', 'O']",1442621
ARSE,['AA R S'],['ARSE'],1117611
ARSENAL,"['AA R', 'S AH', 'N AH L']","['AR', 'SE', 'NAL']",4017059
ARSENIC,"['AA R', 'S AH', 'N IH K']","['AR', 'SE', 'NIC']",1691840
ARSENIDE,"['AA R', 'S AH', 'N AY D']","['AR', 'SE', 'NIDE']",98744
ARSONIST,"['AA R', 'S AH', 'N AH S T']","['AR', 'SO', 'NIST']",74133
ART,['AA R T'],['ART'],214702696
ARTEMAS,"['AA R', 'T IH', 'M AH Z']","['AR', 'TE', 'MAS']",28559
ARTEMUS,"['AA R', 'T AH', 'M AH S']","['AR', 'TE', 'MUS']",49156
ARTERIAL,"['AA R', 'T IH', 'R IY', 'AH L']","['AR', 'TE', 'RI', 'AL']",2010430
ARTERIES,"['AA R', 'T ER', 'IY Z']","['AR', 'TER', 'IES']",1666760
ARTERIOSCLEROSIS,"['AA R', 'T IH', 'R IY', 'OW', 'S K L ER', 'OW', 'S AH S']","['AR', 'TE', 'RI', 'O', 'SCLE', 'RO', 'SIS']",279615
ARTERY,"['AA R', 'T ER', 'IY']","['AR', 'TER', 'Y']",3434468
ARTESIAN,"['AA R', 'T IY', 'ZH AH N']","['AR', 'TE', 'SIAN']",205119
ARTFUL,"['AA R T', 'F AH L']","['ART', 'FUL']",591043
ARTFULLY,"['AA R T', 'F AH', 'L IY']","['ART', 'FU', 'LLY']",227933
ARTHRITIC,"['AA R', 'TH R IH', 'T IH K']","['AR', 'THRI', 'TIC']",229908
ARTHRITIS,"['AA R', 'TH R AY', 'T AH S']","['AR', 'THRI', 'TIS']",8597099
ARTHROPOD,"['AA R', 'TH R AH', 'P AA D']","['AR', 'THRO', 'POD']",208390
ARTHUR,"['AA R', 'TH ER']","['AR', 'THUR']",14825384
ARTHURIAN,"['AA R', 'TH UH', 'R IY', 'AH N']","['AR', 'THU', 'RI', 'AN']",330397
ARTICHOKE,"['AA R', 'T IH', 'CH OW K']","['AR', 'TI', 'CHOKE']",637213
ARTICLE,"['AA R', 'T AH', 'K AH L']","['AR', 'TI', 'CLE']",181969355
ARTICULAR,"['AA R', 'T IH', 'K Y AH', 'L ER']","['AR', 'TIC', 'U', 'LAR']",370386
ARTICULATE,"['AA R', 'T IH', 'K Y AH', 'L EY T']","['AR', 'TIC', 'U', 'LATE']",1767860
ARTICULATED,"['AA R', 'T IH', 'K Y AH', 'L EY', 'T IH D']","['AR', 'TIC', 'U', 'LAT', 'ED']",1648485
ARTICULATING,"['AA R', 'T IH', 'K Y AH', 'L EY', 'T IH NG']","['AR', 'TIC', 'U', 'LAT', 'ING']",475888
ARTICULATION,"['AA R', 'T IH', 'K Y AH', 'L EY', 'SH AH N']","['AR', 'TIC', 'U', 'LA', 'TION']",1302431
ARTICULATORY,"['AA R', 'T IH', 'K Y AH', 'L AH', 'T AO', 'R IY']","['AR', 'TIC', 'U', 'LA', 'TO', 'RY']",104216
ARTIFACT,"['AA R', 'T AH', 'F AE K T']","['AR', 'TI', 'FACT']",1586626
ARTIFICE,"['AA R', 'T AH', 'F IH S']","['AR', 'TI', 'FICE']",396625
ARTIFICIAL,"['AA R', 'T AH', 'F IH', 'SH AH L']","['AR', 'TI', 'FI', 'CIAL']",10603435
ARTIFICIALLY,"['AA R', 'T AH', 'F IH', 'SH AH', 'L IY']","['AR', 'TI', 'FI', 'CIA', 'LLY']",924202
ARTILLERY,"['AA R', 'T IH', 'L ER', 'IY']","['AR', 'TI', 'LLER', 'Y']",2577825
ARTISAN,"['AA R', 'T IH', 'Z AH N']","['AR', 'TI', 'SAN']",1712683
ARTISANAL,"['AA R', 'T IH', 'Z AH', 'N AH L']","['AR', 'TI', 'SA', 'NAL']",189669
ARTIST,"['AA R', 'T IH S T']","['AR', 'TIST']",67421654
ARTISTIC,"['AA R', 'T IH', 'S T IH K']","['AR', 'TIS', 'TIC']",7725365
ARTISTICALLY,"['AA R', 'T IH', 'S T IH', 'K L IY']","['AR', 'TIS', 'TI', 'CA', 'LLY']",325860
ARTISTRY,"['AA R', 'T IH', 'S T R IY']","['ART', 'IST', 'RY']",798720
ARTOIS,"['AA R', 'T W AA']","['AR', 'TOIS']",131153
ARTS,['AA R T S'],['ARTS'],106466033
ARTUR,"['AA R', 'T UH R']","['AR', 'TUR']",315713
ARTURO,"['AA R', 'T UH', 'R OW']","['AR', 'TU', 'RO']",844690
ARTY,"['AA R', 'T IY']","['AR', 'TY']",463410
ARUBA,"['AA', 'R UW', 'B AH']","['A', 'RU', 'BA']",5964318
ARUM,"['EH', 'R AH M']","['AR', 'UM']",104652
ARUNDEL,"['EH', 'R AH N', 'D AH L']","['AR', 'UN', 'DEL']",981200
ARVID,"['AA R', 'V IH D']","['AR', 'VID']",82125
ARVIN,"['AA R', 'V IH N']","['AR', 'VIN']",247509
ARY,"['EH', 'R IY']","['A', 'R', 'Y']",828151
ARYAN,"['AA', 'R IY', 'AH N']","['AR', 'Y', 'AN']",584547
ASA,"['AA', 'S AH']","['A', 'SA']",3762120
ASAT,"['AE', 'Z AE T']","['A', 'SAT']",71109
ASBESTOS,"['AE', 'S B EH', 'S T AH S']","['AS', 'BES', 'TOS']",5208835
ASBESTOSIS,"['AE', 'S B EH', 'S T OW', 'S IH S']","['AS', 'BES', 'TO', 'SIS']",189877
ASBURY,"['AE Z', 'B EH', 'R IY']","['AS', 'BUR', 'Y']",792621
ASCEND,"['AH', 'S EH N D']","['AS', 'CEND']",799236
ASCENDANCE,"['AH', 'S EH N', 'D AH N S']","['AS', 'CEN', 'DANCE']",43265
ASCENDANCY,"['AH', 'S EH N', 'D AH N', 'S IY']","['AS', 'CEND', 'AN', 'CY']",225007
ASCENDANT,"['AH', 'S EH N', 'D AH N T']","['AS', 'CEND', 'ANT']",838163
ASCENDENCY,"['AH', 'S EH N', 'D AH N', 'S IY']","['AS', 'CEND', 'EN', 'CY']",32116
ASCENDING,"['AH', 'S EH N', 'D IH NG']","['AS', 'CEND', 'ING']",4958122
ASCENSION,"['AH', 'S EH N', 'SH AH N']","['AS', 'CEN', 'SION']",1825408
ASCENT,"['AH', 'S EH N T']","['AS', 'CENT']",1509864
ASCERTAIN,"['AE', 'S ER', 'T EY N']","['AS', 'CER', 'TAIN']",1622362
ASCETIC,"['AH', 'S EH', 'T IH K']","['AS', 'CE', 'TIC']",208813
ASCOT,"['AE', 'S K AA T']","['AS', 'COT']",888745
ASCRIBE,"['AH', 'S K R AY B']","['AS', 'CRIBE']",306862
ASCRIBED,"['AH', 'S K R AY B D']","['AS', 'CRIBED']",603527
ASEXUAL,"['EY', 'S EH K', 'S Y UW', 'AH L']","['A', 'SEX', 'U', 'AL']",187294
ASGARD,"['AA', 'S G AA R D']","['AS', 'GARD']",162556
ASH,['AE SH'],['ASH'],8934811
ASHAMED,"['AH', 'SH EY M D']","['A', 'SHAMED']",1932143
ASHBY,"['AE', 'SH B IY']","['ASH', 'BY']",902464
ASHEBORO,"['AE', 'SH B AO', 'R OW']","['ASHE', 'BOR', 'O']",209358
ASHEN,"['AE', 'SH AH N']","['AS', 'HEN']",184747
ASHER,"['AE', 'SH ER']","['AS', 'HER']",863144
ASHES,"['AE', 'SH IH Z']","['ASH', 'ES']",3011008
ASHEVILLE,"['AE', 'SH V IH L']","['ASHE', 'VILLE']",2461302
ASHKENAZI,"['AE', 'SH K AH', 'N AA', 'Z IY']","['ASH', 'KE', 'NA', 'ZI']",245344
ASHORE,"['AH', 'SH AO R']","['A', 'SHORE']",876754
ASHUR,"['AE', 'SH ER']","['A', 'SHUR']",34182
ASHY,"['AE', 'SH IY']","['AS', 'HY']",80837
ASIA,"['EY', 'ZH AH']","['A', 'SIA']",55979169
ASIAN,"['EY', 'ZH AH N']","['A', 'SIAN']",66078353
ASIATIC,"['EY', 'ZH IY', 'AE', 'T IH K']","['A', 'SI', 'A', 'TIC']",485649
ASIDE,"['AH', 'S AY D']","['A', 'SIDE']",11768649
ASININE,"['AE', 'S AH', 'N AY N']","['AS', 'I', 'NINE']",130618
ASK,['AE S K'],['ASK'],106400213
ASKANCE,"['AH', 'S K AE N S']","['A', 'SKANCE']",93112
ASKER,"['AE', 'S K ER']","['AS', 'KER']",948596
ASKEW,"['AH', 'S K Y UW']","['A', 'SKEW']",473664
ASLEEP,"['AH', 'S L IY P']","['A', 'SLEEP']",3967813
ASMARA,"['AE Z', 'M AA', 'R AH']","['AS', 'MA', 'RA']",120536
ASMODEUS,"['AE Z', 'M AH', 'D EY', 'AH S']","['AS', 'MO', 'DE', 'US']",38361
ASP,['AE S P'],['ASP'],16785885
ASPARAGUS,"['AH', 'S P EH', 'R AH', 'G AH S']","['AS', 'PAR', 'A', 'GUS']",1237837
ASPECT,"['AE', 'S P EH K T']","['AS', 'PECT']",15351221
ASPEN,"['AE', 'S P AH N']","['AS', 'PEN']",4626441
ASPER,"['AE', 'S P ER']","['AS', 'PER']",84389
ASPERITY,"['AH', 'S P EH', 'R IH', 'T IY']","['AS', 'PER', 'I', 'TY']",28588
ASPERSION,"['AH', 'S P ER', 'ZH AH N']","['AS', 'PER', 'SION']",17439
ASPHALT,"['AE', 'S F AO L T']","['AS', 'PHALT']",3121584
ASPHYXIATED,"['AE', 'S F IH K', 'S IY', 'EY', 'T IH D']","['AS', 'PHYX', 'I', 'AT', 'ED']",26173
ASPHYXIATING,"['AE', 'S F IH K', 'S IY', 'EY', 'T IH NG']","['AS', 'PHYX', 'I', 'AT', 'ING']",21049
ASPINWALL,"['AE', 'S P IH', 'N W AO L']","['AS', 'PIN', 'WALL']",79618
ASPIRANT,"['AE', 'S P ER', 'AH N T']","['AS', 'PIR', 'ANT']",146163
ASPIRATE,"['AE', 'S P ER', 'EY T']","['AS', 'PI', 'RATE']",105943
ASPIRATED,"['AE', 'S P ER', 'EY', 'T IH D']","['AS', 'PI', 'RAT', 'ED']",171940
ASPIRATION,"['AE', 'S P ER', 'EY', 'SH AH N']","['AS', 'PI', 'RA', 'TION']",1143291
ASPIRE,"['AH', 'S P AY R']","['AS', 'PIRE']",2638953
ASPIRED,"['AH', 'S P AY R D']","['AS', 'PIRED']",149900
ASPIRIN,"['AE', 'S P R IH N']","['AS', 'PI', 'RIN']",2302297
ASPIRING,"['AH', 'S P AY', 'R IH NG']","['AS', 'PIR', 'ING']",1497326
ASQUITH,"['AE', 'S K W IH TH']","['AS', 'QUITH']",150106
ASS,['AE S'],['ASS'],62060498
ASSAD,"['AH', 'S AA D']","['A', 'SSAD']",476375
ASSAIL,"['AH', 'S EY L']","['A', 'SSAIL']",140077
ASSAILANT,"['AH', 'S EY', 'L AH N T']","['A', 'SSAIL', 'ANT']",247362
ASSAM,"['AA', 'S AA M']","['A', 'SSAM']",803070
ASSASSIN,"['AH', 'S AE', 'S AH N']","['A', 'SSA', 'SSIN']",1449166
ASSASSINATE,"['AH', 'S AE', 'S AH', 'N EY T']","['A', 'SSA', 'SSI', 'NATE']",308774
ASSASSINATED,"['AH', 'S AE', 'S AH', 'N EY', 'T IH D']","['A', 'SSA', 'SSI', 'NAT', 'ED']",554713
ASSASSINATING,"['AH', 'S AE', 'S AH', 'N EY', 'T IH NG']","['A', 'SSA', 'SSI', 'NAT', 'ING']",62687
ASSASSINATION,"['AH', 'S AE', 'S AH', 'N EY', 'SH AH N']","['A', 'SSA', 'SSI', 'NA', 'TION']",2116496
ASSAULT,"['AH', 'S AO L T']","['A', 'SSAULT']",10011305
ASSAY,"['AE', 'S EY']","['A', 'SSAY']",3855224
ASSAYER,"['AE', 'S EY', 'ER']","['A', 'SSAY', 'ER']",26843
ASSEMBLAGE,"['AH', 'S EH M', 'B L AH JH']","['A', 'SSEM', 'BLAGE']",625379
ASSEMBLE,"['AH', 'S EH M', 'B AH L']","['A', 'SSEM', 'BLE']",2600945
ASSEMBLED,"['AH', 'S EH M', 'B AH L D']","['A', 'SSEM', 'BLED']",5120841
ASSEMBLER,"['AH', 'S EH M', 'B L ER']","['A', 'SSEM', 'BLER']",1636918
ASSEMBLY,"['AH', 'S EH M', 'B L IY']","['A', 'SSEM', 'BLY']",33704254
ASSEMBLYMAN,"['AH', 'S EH M', 'B L IY', 'M AE N']","['A', 'SSEM', 'BLY', 'MAN']",415364
ASSENT,"['AH', 'S EH N T']","['A', 'SSENT']",1123944
ASSERT,"['AH', 'S ER T']","['A', 'SSERT']",3288118
ASSERTED,"['AH', 'S ER', 'T IH D']","['A', 'SSERT', 'ED']",2230343
ASSERTION,"['AH', 'S ER', 'SH AH N']","['A', 'SSER', 'TION']",2917932
ASSERTIVE,"['AH', 'S ER', 'T IH V']","['A', 'SSER', 'TIVE']",567151
